#        k    p_h_pos  p_h1_mass   p_hp_h1m   p_hp_h1m
   1.73953     8.65023e+01     1.28315e+03     9.30115e+01     4.24267e+01
   1.74567     8.58248e+01     1.27388e+03     9.20258e+01     4.05491e+01
   1.75181     8.54802e+01     1.26730e+03     9.19901e+01     4.08158e+01
   1.75794     8.53635e+01     1.26399e+03     9.14434e+01     3.85735e+01
   1.76408     8.48043e+01     1.25755e+03     9.08754e+01     3.69996e+01
   1.77021     8.43725e+01     1.25278e+03     9.02855e+01     3.82478e+01
   1.77635     8.40699e+01     1.24253e+03     8.99018e+01     3.79572e+01
   1.78249     8.35952e+01     1.23785e+03     9.00488e+01     4.20540e+01
   1.78862     8.30883e+01     1.22468e+03     8.88523e+01     3.78559e+01
   1.79476     8.29004e+01     1.21245e+03     8.82880e+01     3.86933e+01
   1.80089     8.26663e+01     1.20856e+03     8.77648e+01     3.92538e+01
   1.80703     8.24278e+01     1.20487e+03     8.78081e+01     3.76874e+01
   1.81317     8.18786e+01     1.19392e+03     8.72842e+01     3.75764e+01
   1.81930     8.13056e+01     1.19174e+03     8.64888e+01     3.49282e+01
   1.82544     8.13185e+01     1.18322e+03     8.65166e+01     3.61877e+01
   1.83157     8.06130e+01     1.18094e+03     8.60870e+01     3.47242e+01
   1.83771     8.01185e+01     1.17174e+03     8.58288e+01     3.32524e+01
   1.84384     7.99552e+01     1.16204e+03     8.51557e+01     3.72819e+01
   1.84998     7.93109e+01     1.15586e+03     8.47618e+01     3.40696e+01
   1.85612     7.91270e+01     1.15051e+03     8.43539e+01     3.46250e+01
   1.86225     7.88011e+01     1.14207e+03     8.41902e+01     3.41320e+01
   1.86839     7.82218e+01     1.13465e+03     8.29689e+01     3.33754e+01
   1.87452     7.77826e+01     1.13104e+03     8.27368e+01     3.44661e+01
   1.88066     7.74205e+01     1.11896e+03     8.24868e+01     3.10587e+01
   1.88680     7.73569e+01     1.10711e+03     8.23230e+01     3.23409e+01
   1.89293     7.68429e+01     1.10458e+03     8.19864e+01     3.21009e+01
   1.89907     7.65266e+01     1.09906e+03     8.17948e+01     3.27233e+01
   1.90520     7.62469e+01     1.09320e+03     8.10634e+01     3.00386e+01
   1.91134     7.60048e+01     1.08207e+03     8.02813e+01     2.83049e+01
   1.91748     7.57108e+01     1.07774e+03     8.02972e+01     3.15866e+01
   1.92361     7.54036e+01     1.07472e+03     8.01218e+01     3.41330e+01
   1.92975     7.48921e+01     1.07032e+03     7.95154e+01     3.02960e+01
   1.93588     7.45842e+01     1.06841e+03     7.92413e+01     3.21287e+01
   1.94202     7.43373e+01     1.06379e+03     7.85531e+01     2.82655e+01
   1.94816     7.40586e+01     1.05750e+03     7.85584e+01     3.06594e+01
   1.95429     7.34790e+01     1.04970e+03     7.76569e+01     2.82985e+01
   1.96043     7.30601e+01     1.04503e+03     7.76299e+01     2.96970e+01
   1.96656     7.27162e+01     1.04236e+03     7.73909e+01     2.87132e+01
   1.97270     7.25664e+01     1.03858e+03     7.68989e+01     2.91188e+01
   1.97884     7.21741e+01     1.03339e+03     7.70020e+01     2.98912e+01
   1.98497     7.18236e+01     1.02200e+03     7.62684e+01     2.55725e+01
   1.99111     7.13897e+01     1.01372e+03     7.57758e+01     2.64835e+01
   1.99724     7.12532e+01     1.01116e+03     7.55157e+01     3.02141e+01
   2.00338     7.08450e+01     1.00609e+03     7.49239e+01     2.57868e+01
   2.00951     7.04889e+01     1.00164e+03     7.48390e+01     2.76181e+01
   2.01565     7.00628e+01     9.97043e+02     7.39638e+01     2.39714e+01
   2.02179     6.98081e+01     9.90397e+02     7.39053e+01     2.68848e+01
   2.02792     6.94617e+01     9.85471e+02     7.36251e+01     2.49666e+01
   2.03406     6.92299e+01     9.81265e+02     7.36128e+01     2.72883e+01
   2.04019     6.88812e+01     9.76690e+02     7.33334e+01     2.95745e+01
   2.04633     6.84152e+01     9.73043e+02     7.27678e+01     2.58946e+01
   2.05247     6.81291e+01     9.68372e+02     7.20779e+01     2.58830e+01
   2.05860     6.79425e+01     9.63071e+02     7.17634e+01     2.49014e+01
   2.06474     6.74766e+01     9.56271e+02     7.14376e+01     2.58172e+01
   2.07087     6.73003e+01     9.51381e+02     7.08930e+01     2.50280e+01
   2.07701     6.71197e+01     9.45375e+02     7.10962e+01     2.52667e+01
   2.08315     6.67061e+01     9.38855e+02     7.03983e+01     2.41967e+01
   2.08928     6.63903e+01     9.30603e+02     6.99790e+01     2.40364e+01
   2.09542     6.62310e+01     9.23558e+02     6.94566e+01     2.19087e+01
   2.10155     6.60095e+01     9.16527e+02     6.95256e+01     2.31293e+01
   2.10769     6.56201e+01     9.11620e+02     6.89032e+01     2.32796e+01
   2.11383     6.52584e+01     9.10187e+02     6.88091e+01     2.23545e+01
   2.11996     6.50039e+01     9.06470e+02     6.81193e+01     2.16252e+01
   2.12610     6.45414e+01     9.03664e+02     6.81976e+01     2.16702e+01
   2.13223     6.42984e+01     8.99820e+02     6.75001e+01     2.17059e+01
   2.13837     6.39560e+01     8.94816e+02     6.74129e+01     2.20596e+01
   2.14451     6.36060e+01     8.90405e+02     6.69269e+01     2.38876e+01
   2.15064     6.33889e+01     8.84979e+02     6.67585e+01     2.40802e+01
   2.15678     6.28889e+01     8.85942e+02     6.66400e+01     2.30764e+01
   2.16291     6.27473e+01     8.82071e+02     6.63719e+01     2.29038e+01
   2.16905     6.25202e+01     8.77256e+02     6.60270e+01     2.31089e+01
   2.17518     6.20743e+01     8.71582e+02     6.56147e+01     2.25723e+01
   2.18132     6.18111e+01     8.65441e+02     6.51392e+01     2.19945e+01
   2.18746     6.15095e+01     8.60433e+02     6.48480e+01     2.25024e+01
   2.19359     6.12370e+01     8.52590e+02     6.41805e+01     2.08228e+01
   2.19973     6.08006e+01     8.46780e+02     6.41156e+01     2.37478e+01
   2.20586     6.07222e+01     8.38836e+02     6.35164e+01     2.07732e+01
   2.21200     6.03117e+01     8.31476e+02     6.29143e+01     2.03915e+01
   2.21814     6.01839e+01     8.24054e+02     6.27421e+01     1.94094e+01
   2.22427     5.98950e+01     8.20700e+02     6.27310e+01     1.94430e+01
